Counter,Time,Bin1 MToF,PM10,Bin 4,Bin 11,Bin 10,Bin 0,Bin 14,PM1,Sampling Period,Bin 15,Bin5 MToF,Bin 5,Bin 3,Checksum,Bin 8,Bin7 MToF,Bin 13,Pressure,Bin 7,Bin 9,Bin 12,Temperature,Bin 1,Bin 2,Bin 6,PM2.5,Bin3 MToF,SFR
114,68.3550033569336,0.0,0.20023226737976074,0,0,0,1,0,0.1946716159582138,0.5041706562042236,0,0.0,0,0,1,0,0.0,0,,0,0,0,,0,0,0,0.2002287358045578,0.0,3.700000047683716
115,68.95335102081299,0.0,0.0,0,0,0,0,0,0.0,0.5035520195960999,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
116,69.55327606201172,0.0,0.0,0,0,0,0,0,0.0,0.5042133331298828,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
117,70.1515462398529,0.0,0.0,0,0,0,0,0,0.0,0.5034239888191223,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
118,70.7502269744873,0.0,0.0,0,0,0,0,0,0.0,0.5041919946670532,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
119,71.35860276222229,0.0,0.0,0,0,0,0,0,0.0,0.5035733580589294,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
120,71.95731520652771,0.0,0.0,0,0,0,0,0,0.0,0.5041919946670532,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
121,72.5556902885437,0.0,0.0,0,0,0,0,0,0.0,0.5034666657447815,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
122,73.16558575630188,0.0,0.0,0,0,0,0,0,0.0,0.5041706562042236,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
123,73.76393294334412,0.0,0.0,0,0,0,0,0,0.0,0.5034666657447815,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
124,74.36510348320007,0.0,0.0,0,0,0,0,0,0.0,0.5041279792785645,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
125,74.97094511985779,0.0,0.0,0,0,0,0,0,0.0,0.5034453272819519,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
126,75.57090353965759,0.0,0.0,0,0,0,0,0,0.0,0.5042133331298828,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
127,76.16921257972717,0.0,0.0,0,0,0,0,0,0.0,0.5035093426704407,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
128,76.76916122436523,0.0,0.0,0,0,0,0,0,0.0,0.5042346715927124,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
129,77.36796689033508,0.0,0.0,0,0,0,0,0,0.0,0.5039146542549133,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
130,77.96800541877747,0.0,0.0,0,0,0,0,0,0.0,0.5046613216400146,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
131,78.56670379638672,0.0,0.0,0,0,0,0,0,0.0,0.5032960176467896,0,0.0,0,0,0,0,0.0,0,,0,0,0,,0,0,0,0.0,0.0,3.700000047683716
