Counter,Time,PM2.5,Bin 11,Bin5 MToF,PM1,Bin 8,Temperature,SFR,Bin1 MToF,Bin 3,Bin 14,PM10,Checksum,Bin 13,Bin 2,Bin 10,Pressure,Sampling Period,Bin 6,Bin 4,Bin 12,Bin7 MToF,Bin 9,Bin 7,Bin 1,Bin 15,Bin 5,Bin 0,Bin3 MToF
338,202.28462743759155,1002.7161865234375,0,8.0,713.7893676757812,0,,4.433417320251465,5.666666666666667,185,0,1013.16650390625,2842,0,787,0,,0.504746675491333,1,13,0,10.333333333333334,0,1,1118,0,9,728,7.333333333333333
339,202.88403296470642,952.638916015625,0,9.333333333333334,683.9949340820312,0,,4.527182579040527,5.333333333333333,208,0,960.0929565429688,2838,0,704,0,,0.5038506388664246,2,22,0,0.0,0,0,1118,0,2,782,8.0
340,203.48418045043945,953.5294189453125,0,8.0,688.9319458007812,0,,4.438352584838867,5.666666666666667,184,0,960.2613525390625,2804,0,688,0,,0.504746675491333,1,21,0,0.0,0,0,1113,0,4,793,7.0
341,204.083514213562,877.0489501953125,0,10.0,637.3884887695312,0,,4.529754161834717,5.333333333333333,169,0,883.7640991210938,2663,0,616,0,,0.5039146542549133,1,19,0,0.0,0,0,1074,0,9,775,7.666666666666667
342,204.68370032310486,967.7835693359375,0,7.666666666666667,693.0645751953125,0,,4.439587593078613,5.666666666666667,221,0,975.8246459960938,2845,0,698,0,,0.5048106908798218,2,21,0,0.0,0,0,1099,0,5,799,7.666666666666667
343,205.2819492816925,959.7997436523438,0,6.666666666666667,695.2321166992188,0,,4.530397415161133,5.333333333333333,165,0,966.0856323242188,2841,0,721,0,,0.503765344619751,1,17,0,0.0,0,0,1165,0,3,769,8.0
344,205.8826401233673,1063.4576416015625,0,8.333333333333334,757.3518676757812,0,,4.439896583557129,5.666666666666667,188,0,1070.144775390625,2992,0,844,0,,0.5055360198020935,0,23,0,0.0,0,0,1221,0,4,712,7.333333333333333
345,206.48149156570435,1024.189208984375,0,10.333333333333334,731.0756225585938,0,,4.530558109283447,5.333333333333333,197,0,1031.3629150390625,2965,0,811,0,,0.5040640234947205,1,16,0,0.0,0,0,1192,0,5,743,8.0
346,207.08189177513123,974.0565185546875,0,8.333333333333334,693.3909912109375,0,,4.577291488647461,5.333333333333333,190,0,982.3057250976562,2864,0,768,0,,0.5051306486129761,2,26,0,0.0,0,0,1152,0,8,718,7.333333333333333
347,207.68090295791626,857.6472778320312,0,5.666666666666667,623.5079956054688,0,,4.601022243499756,5.333333333333333,163,0,863.387939453125,2639,0,635,0,,0.50408536195755,1,18,0,0.0,0,0,1033,0,2,787,7.333333333333333
348,208.28171396255493,874.8115844726562,0,6.0,633.7675170898438,0,,4.612979888916016,5.333333333333333,164,0,881.287841796875,2682,0,673,0,,0.5056426525115967,2,11,0,0.0,0,0,1036,0,3,793,8.0
349,208.8804805278778,962.9032592773438,0,11.333333333333334,686.9915161132812,0,,4.618982315063477,5.333333333333333,197,0,972.529052734375,2872,0,776,0,,0.5041279792785645,1,16,0,18.333333333333332,0,1,1105,0,4,772,7.0
350,209.48109436035156,974.1614990234375,0,6.666666666666667,692.5291748046875,0,,4.621988773345947,5.333333333333333,195,0,981.226806640625,2887,0,798,0,,0.5054720044136047,1,24,0,0.0,0,0,1126,0,4,739,8.0
351,210.08015704154968,958.446533203125,0,9.0,688.4630737304688,0,,4.623493671417236,5.333333333333333,211,0,964.8067626953125,2884,0,736,0,,0.5041706562042236,1,14,0,0.0,0,0,1170,0,1,751,7.666666666666667
352,210.68011021614075,1001.9580078125,0,9.666666666666666,713.9967651367188,0,,4.484140396118164,5.666666666666667,194,0,1008.5023193359375,2891,0,793,0,,0.5048959851264954,0,21,0,0.0,0,0,1119,0,5,759,8.0
353,211.27950072288513,985.7830810546875,0,7.0,708.1259155273438,0,,4.417566776275635,5.666666666666667,194,0,992.7138061523438,2824,0,726,0,,0.5039146542549133,1,14,0,0.0,0,0,1155,0,5,729,8.0
354,211.87960529327393,981.6055297851562,0,8.0,704.6710205078125,0,,4.518904685974121,5.333333333333333,187,0,988.446533203125,2898,0,756,0,,0.5048106908798218,1,23,0,0.0,0,0,1128,0,3,800,7.333333333333333
355,212.47905611991882,960.8491821289062,0,8.0,698.0555419921875,0,,4.571336269378662,5.333333333333333,158,0,966.3160400390625,2877,0,734,0,,0.5039146542549133,0,13,0,0.0,0,0,1170,0,4,798,8.0
356,213.07931661605835,894.9471435546875,0,9.333333333333334,651.4506225585938,0,,4.5980119705200195,5.333333333333333,172,0,900.0791015625,2758,0,666,0,,0.5049813389778137,0,15,0,0.0,0,0,1077,0,2,826,7.0
357,213.67841935157776,913.5252075195312,0,11.0,662.968017578125,0,,4.611466407775879,5.333333333333333,193,0,919.9132690429688,2799,0,662,0,,0.5038293600082397,1,10,0,0.0,0,0,1145,0,6,782,7.666666666666667
358,214.27865266799927,946.4096069335938,0,9.0,682.6299438476562,0,,4.618223667144775,5.333333333333333,180,0,952.0877075195312,2865,0,738,0,,0.5048533082008362,0,18,0,0.0,0,0,1131,0,3,795,7.333333333333333
359,214.87817645072937,914.6155395507812,0,7.0,662.2991333007812,0,,4.621608734130859,5.333333333333333,155,0,920.8872680664062,2776,0,696,0,,0.5039573311805725,1,27,0,0.0,0,0,1127,0,3,767,7.666666666666667
360,215.4783685207367,902.03173828125,0,10.0,655.7787475585938,0,,4.62330436706543,5.333333333333333,161,0,908.6083984375,2771,0,682,0,,0.5049600005149841,2,14,0,0.0,0,0,1103,0,3,806,7.333333333333333
